weights,Sortino,Calmar,CVaR,Sharpe,Treynor,InfoRatio,CVaR_pos,score_equal,freq
[0.00719613 0.67707816 0.00240846 0.31331725],0.6652792303387379,0.984572485019239,-0.03628493614049557,0.7782714278630973,0.6500215701940234,0.9697621854864854,0.21804786344807356,0.7109924603916093,48
[0.00364135 0.79566518 0.05946929 0.14122418],0.9053893102915344,0.701867032311176,-0.027308653455139706,0.9719916226514496,0.6495657771959961,0.9870622902780123,0.11542698781331098,0.7218838367569131,35
[0.02220369 0.78492237 0.04466028 0.14821366],0.9186003245954861,0.7217482524602059,-0.027104636964524118,0.958595666875178,0.649610068771773,0.9670882934238433,0.11309458010682702,0.7214561977055522,27
[0.0054656  0.76580529 0.13794637 0.09078274],0.9036264780285447,0.6333202747705535,-0.02747550626572869,1.0,0.6494908095482208,0.9882920249895648,0.11733452371931549,0.7153440185093665,17
[0.3881628  0.43011767 0.01087004 0.1708495 ],0.6421820250433864,0.8986338062696839,-0.02155341150810592,0.7365778065204578,1.0,0.5843920418345416,0.04963048955261612,0.6519026948701142,16
[0.00127925 0.00391395 0.98269411 0.01211269],0.1700648097088409,0.15340140681231956,-0.10468255388339473,0.2687385897648616,0.649442992198096,0.8803730573553076,1.0,0.5203368093065709,12
[0.00962492 0.73112303 0.08784584 0.17140621],0.8673022779621394,0.7302094774759185,-0.028821893380315697,0.9651877802031836,0.6495179974132684,0.9771417415508006,0.13272702298492908,0.7203477162650399,9
[0.01473914 0.78584339 0.1395485  0.05986897],0.9218246640420085,0.6089998264805776,-0.026982465791760734,0.99447316910104,0.6494909475333026,0.9803958825320346,0.11169786465503337,0.7111470590573328,7
[0.00614139 0.84476134 0.05543041 0.09366686],0.9224044417462613,0.6559268951589905,-0.025551345147553015,0.9751866696059459,0.6495888239042275,0.9886331934162917,0.09533665380689713,0.7145127796064358,5
[0.14469676 0.67938818 0.07330726 0.10260781],0.9588051394359818,0.7135791926076247,-0.022959796582339664,0.9776506720402649,0.6495336796457375,0.8353145692969285,0.06570891230917456,0.7000986942226186,5
[0.0029412  0.79403655 0.10110989 0.10191237],0.8942048623024069,0.6514400760129495,-0.026517781484039996,0.9977319990783511,0.6495122829265826,0.9907116990867798,0.10638538595716077,0.7149977175607051,4
[0.00364371 0.74640457 0.13274286 0.11720886],0.8780486985455865,0.6580772486486868,-0.027738655411471004,0.9968968150264277,0.6494920776935829,0.9879798148946906,0.12034296236872119,0.7151396028629492,3
